distretto,day_of_year,precipitation_p1,precipitation_p10,precipitation_p25,precipitation_p75,precipitation_p50,precipitation_p95,precipitation_p99
7657.0,1.0,0.0,0.0,0.0,5.5097856014171,0.0,18.095039332943823,21.981178471065878
11058.0,1.0,0.0,0.0,0.0,4.916112899780273,0.0,16.976978302001953,20.70981216430664
7662.0,1.0,0.0,0.0,0.0,0.5754582085116271,0.0,18.681908642470965,27.483060089713785
7661.0,1.0,0.0,0.0,0.0,0.025405709792251364,0.0,18.99725684843112,27.93922726194618
7663.0,1.0,0.0,0.0,0.0,1.6015791452302228,0.0,15.85668375293645,21.998851121235237
7667.0,1.0,0.0,0.0,0.0,0.24312066750934533,0.0,15.431479622471745,21.207904284994775
7660.0,1.0,0.0,0.0,0.0,3.4446410775708136,0.0,15.344976577286142,20.552496640864703
7658.0,1.0,0.0,0.0,0.0,5.641005243309336,0.0,19.524734947500008,24.153532998404053
7666.0,1.0,0.0,0.0,0.0,0.0,0.0,14.132577965107371,18.594004066954266
7659.0,1.0,0.0,0.0,0.0,1.4145289367206115,0.0,17.455185200132743,24.529170747392353
7656.0,1.0,0.0,0.0,0.0,1.9932495211417476,0.0,16.686603257179303,21.609977506661085
7669.0,1.0,0.0,0.0,0.0,1.9006979940117075,0.0,13.773437356483091,17.51861155065584
7668.0,1.0,0.0,0.0,0.0,1.771935122747602,0.0,13.460389112987873,17.926685099658037
7670.0,1.0,0.0,0.0,0.0,0.88754416143727,0.0,16.688242650385618,22.555215477647188
7639.0,1.0,0.0,0.0,0.0,4.940784835326982,0.0,17.349696988504036,22.17539842629446
7680.0,1.0,0.0,0.0,0.0,4.896585798877194,0.0,17.978259646518467,22.58645473600522
7679.0,1.0,0.0,0.0,0.0,5.560006164336264,0.0,19.135166777012003,23.410555184336587
7688.0,1.0,0.0,0.0,0.0,1.9317203050750873,0.0,14.398592110761664,20.0865950329841
7672.0,1.0,0.0,0.0,0.0,0.956825531335138,0.0,15.212435083561576,20.619558125759653
7678.0,1.0,0.0,0.0,0.0,1.6717154616319991,0.0,13.945738355509132,18.335954900768996
7676.0,1.0,0.0,0.0,0.0,1.0689439494648763,0.0,18.738801888435546,22.461180539803486
7671.0,1.0,0.0,0.0,0.0,2.589017609179478,0.0,13.30835103340081,17.984685721868317
7674.0,1.0,0.0,0.0,0.0,3.6594261643789574,0.0,12.923501508576532,17.470461679835758
7673.0,1.0,0.0,0.0,0.0,1.1227040102033796,0.0,14.58790945756734,18.870410113950857
7677.0,1.0,0.0,0.0,0.0,1.1949527400181383,0.0,16.751927299640652,21.279935770269283
7675.0,1.0,0.0,0.0,0.0,1.0865992822750898,0.0,17.359523528117563,21.33691444297679
7657.0,2.0,0.0,0.0,0.0,0.0,0.0,5.016382188953735,5.980462329797173
11058.0,2.0,0.0,0.0,0.0,0.0,0.0,6.051364898681641,8.169368743896484
7662.0,2.0,0.0,0.0,0.0,0.0,0.0,7.405602371834275,8.503593809866222
7661.0,2.0,0.0,0.0,0.0,0.0,0.0,5.845188517778398,6.837327201426009
7663.0,2.0,0.0,0.0,0.0,0.0,0.0,7.632443734666941,8.458441331791796
7667.0,2.0,0.0,0.0,0.0,0.0,0.0,5.951404370029956,6.564241881736412
7660.0,2.0,0.0,0.0,0.0,0.0,0.0,7.893153766466953,8.880285779984115
7658.0,2.0,0.0,0.0,0.0,0.0,0.0,5.00809708815982,7.873403422202357
7666.0,2.0,0.0,0.0,0.0,0.0,0.0,5.51977401489907,6.460415434330068
7659.0,2.0,0.0,0.0,0.0,0.0,0.0,7.751649371831135,8.888590126080382
7656.0,2.0,0.0,0.0,0.0,0.0,0.0,5.409664539221327,6.431592035148136
7669.0,2.0,0.0,0.0,0.0,0.0,0.0,5.880442185860977,6.907120218341343
7668.0,2.0,0.0,0.0,0.0,0.0,0.0,5.229167113514777,6.076066521901436
7670.0,2.0,0.0,0.0,0.0,0.0,0.0,5.763756733858036,6.658436766855704
7639.0,2.0,0.0,0.0,0.0,0.0,0.0,5.767957778930496,8.407561434812783
7680.0,2.0,0.0,0.0,0.0,0.0,0.0,4.647787075412015,5.22524999625017
7679.0,2.0,0.0,0.0,0.0,0.0,0.0,5.472913403685819,8.028379207014465
7688.0,2.0,0.0,0.0,0.0,0.0,0.0,4.063405261299571,4.142843993098115
7672.0,2.0,0.0,0.0,0.0,0.0,0.0,7.307513395495141,9.778894510019093
7678.0,2.0,0.0,0.0,0.0,0.25233725101200205,0.0,7.013760818314853,10.404395686669238
7676.0,2.0,0.0,0.0,0.0,0.1768295373478128,0.0,10.37269547967098,12.729879814854899
7671.0,2.0,0.0,0.0,0.0,0.0,0.0,4.217983490894844,4.918645117707253
7674.0,2.0,0.0,0.0,0.0,0.0,0.0,5.595359614184136,8.230600197978367
7673.0,2.0,0.0,0.0,0.0,0.0,0.0,6.855385501203536,8.674900622918521
7677.0,2.0,0.0,0.0,0.0,0.17928090457359624,0.0,6.504850608917201,7.808247194429034
7675.0,2.0,0.0,0.0,0.0,0.055939917986391835,0.0,9.134139857357619,10.812457588121783
7657.0,3.0,0.0,0.0,0.0,0.0,0.0,9.303352676945646,10.358569112845505
11058.0,3.0,0.0,0.0,0.0,0.0,0.0,8.802734375,9.436100959777832
7662.0,3.0,0.0,0.0,0.0,0.0,0.0,11.46603053137608,15.101043635860847
7661.0,3.0,0.0,0.0,0.0,0.0,0.0,12.082512547749792,16.399286899114728
7663.0,3.0,0.0,0.0,0.0,0.0,0.0,8.183123143990466,9.255278980634822
7667.0,3.0,0.0,0.0,0.0,0.0,0.0,12.295179186207795,16.91155770911316
7660.0,3.0,0.0,0.0,0.0,0.0,0.0,7.033962292458811,7.110363726633855
7658.0,3.0,0.0,0.0,0.0,0.0,0.0,8.091833621357432,8.742728613669245
7666.0,3.0,0.0,0.0,0.0,0.0,0.0,11.900577654737107,16.244755675944877
7659.0,3.0,0.0,0.0,0.0,0.0,0.0,10.107834125248472,12.522674052588734
7656.0,3.0,0.0,0.0,0.0,0.0,0.0,12.352361952411396,14.901554281842795
7669.0,3.0,0.0,0.0,0.0,0.0,0.0,12.914274641839556,17.958890388533916
